"","","roll"
"337","6/9/2021","58.5714285714286"
"338","6/10/2021","51.8571428571429"
"339","6/11/2021","54"
"340","6/12/2021","54.2857142857143"
"341","6/13/2021","52.8571428571429"
"342","6/14/2021","48.5714285714286"
"343","6/15/2021","46.2857142857143"
"344","6/16/2021","40.4285714285714"
"345","6/17/2021","44.7142857142857"
"346","6/18/2021","39.8571428571429"
"347","6/19/2021","37.7142857142857"
"348","6/20/2021","39"
"349","6/21/2021","42.1428571428571"
"350","6/22/2021","39.8571428571429"
"351","6/23/2021","39.2857142857143"
"352","6/24/2021","37.2857142857143"
"353","6/25/2021","38"
"354","6/26/2021","39.7142857142857"
"355","6/27/2021","41"
"356","6/28/2021","39.7142857142857"
"357","6/29/2021","44.2857142857143"
"358","6/30/2021","43"
"359","7/1/2021","43.8571428571429"
"360","7/2/2021","47.4285714285714"
"361","7/3/2021","48"
"362","7/4/2021","46.1428571428571"
"363","7/5/2021","48.8571428571429"
"364","7/6/2021","46.5714285714286"
"365","7/7/2021","54.5714285714286"
"366","7/8/2021","60.1428571428571"
"367","7/9/2021","62.1428571428571"
"368","7/10/2021","64.8571428571429"
"369","7/11/2021","65.7142857142857"
"370","7/12/2021",NA
"371","7/13/2021",NA
"372","7/14/2021",NA
