"","","roll"
"398","7/22/2021","2392.14285714286"
"399","7/23/2021","2496.14285714286"
"400","7/24/2021","2601.42857142857"
"401","7/25/2021","2696.42857142857"
"402","7/26/2021","2791.28571428571"
"403","7/27/2021","2886.14285714286"
"404","7/28/2021","2941.14285714286"
"405","7/29/2021","3000.85714285714"
"406","7/30/2021","3039.28571428571"
"407","7/31/2021","3093.71428571429"
"408","8/1/2021","3134.14285714286"
"409","8/2/2021","3178.85714285714"
"410","8/3/2021","3197.28571428571"
"411","8/4/2021","3221"
"412","8/5/2021","3196.85714285714"
"413","8/6/2021","3278.14285714286"
"414","8/7/2021","3320.14285714286"
"415","8/8/2021","3321.42857142857"
"416","8/9/2021","3298.28571428571"
"417","8/10/2021",NA
"418","8/11/2021",NA
"419","8/12/2021",NA
