Label,Locality,Variant
USA_HI_H213371_2021,HI,B117
USA_HI_H213389_2021,HI,B117
USA_HI_H213391_2021,HI,B117
USA_HI_H213401_2021,HI,B117
USA_HI_H213406_2021,HI,B117
USA_HI_H213416_2021,HI,B117
USA_HI_H213419_2021,HI,B117
USA_HI_H213449_2021,HI,B117
USA_HI_H213480_2021,HI,B117
USA_HI_H213498_2021,HI,B117
USA_HI_H213499_2021,HI,B117
USA_HI_H213504_2021,HI,B117
USA_HI_H213531_2021,HI,B117
USA_HI_OHSU_11545_2021,HI,B117
USA_HI_QDX_26215321_2021,HI,B117
USA_HI_BL029_2021,HI,B117
USA_HI_BL030_2021,HI,B117
USA_HI_BL034_2021,HI,B117
USA_HI_BL038_2021,HI,B117
USA_HI_BL041_2021,HI,B117
USA_HI_BL047_2021,HI,B117
USA_HI_BL051_2021,HI,B117
USA_HI_BL054_2021,HI,B117
USA_HI_BL221_2021,HI,B117
USA_HI_BL223_2021,HI,B117
USA_HI_BL224_2021,HI,B117
USA_HI_BL228_2021,HI,B117
USA_HI_BL229_2021,HI,B117
USA_HI_BL231_2021,HI,B117
USA_HI_BL232_2021,HI,B117
USA_HI_BL235_2021,HI,B117
USA_HI_BL237_2021,HI,B117
USA_HI_BL238_2021,HI,B117
USA_HI_BL239_2021,HI,B117
USA_HI_BL240_2021,HI,B117
USA_HI_BL241_2021,HI,B117
USA_HI_BL242_2021,HI,B117
USA_HI_BL243_2021,HI,B117
USA_HI_BL245_2021,HI,B117
USA_HI_BL246_2021,HI,B117
USA_HI_BL251_2021,HI,B117
USA_HI_BL253_2021,HI,B117
USA_HI_BL254_2021,HI,B117
USA_HI_BL255_2021,HI,B117
USA_HI_BL257_2021,HI,B117
USA_HI_BL258_2021,HI,B117
USA_HI_BL260_2021,HI,B117
USA_HI_BL264_2021,HI,B117
USA_HI_BL265_2021,HI,B117
USA_HI_BL266_2021,HI,B117
USA_HI_BL269_2021,HI,B117
USA_HI_BL271_2021,HI,B117
USA_CA_CDPH_3000050840_2021,LA,B117
USA_CA_LACPHL_AF00890_2021,LA,B117
USA_CA_CDC_2_4214250_2021,LA,B117
USA_CA_CDPH_2000043813_2021,LA,B117
